"","Driver","Track","Name","Pts"
"764","Ryan Blaney","Pocono Raceway","HighPoint.com 400",10
"765","Ryan Preece","Pocono Raceway","HighPoint.com 400",6
"766","B.J. McLeod","Pocono Raceway","HighPoint.com 400",5
"767","Justin Haley","Pocono Raceway","HighPoint.com 400",7
"768","Austin Dillon","Pocono Raceway","HighPoint.com 400",3
"769","Joey Logano","Pocono Raceway","HighPoint.com 400",12
"770","Daniel Suarez","Pocono Raceway","HighPoint.com 400",1
"771","Chris Buescher","Richmond Raceway","Cook Out 400",49
"772","Denny Hamlin","Richmond Raceway","Cook Out 400",49
"773","Kyle Busch","Richmond Raceway","Cook Out 400",39
"774","Joey Logano","Richmond Raceway","Cook Out 400",34
"775","Ryan Preece","Richmond Raceway","Cook Out 400",41
"776","Brad Keselowski","Richmond Raceway","Cook Out 400",43
"777","Martin Truex Jr.","Richmond Raceway","Cook Out 400",33
"778","Aric Almirola","Richmond Raceway","Cook Out 400",32
"779","Austin Dillon","Richmond Raceway","Cook Out 400",28
"780","Kevin Harvick","Richmond Raceway","Cook Out 400",33
"781","Chase Briscoe","Richmond Raceway","Cook Out 400",26
"782","Bubba Wallace","Richmond Raceway","Cook Out 400",41
"783","Chase Elliott","Richmond Raceway","Cook Out 400",31
"784","Ryan Blaney","Richmond Raceway","Cook Out 400",23
"785","Ty Gibbs","Richmond Raceway","Cook Out 400",25
"786","Tyler Reddick","Richmond Raceway","Cook Out 400",39
"787","Ricky Stenhouse Jr.","Richmond Raceway","Cook Out 400",20
"788","Alex Bowman","Richmond Raceway","Cook Out 400",19
"789","Kyle Larson","Richmond Raceway","Cook Out 400",18
"790","Christopher Bell","Richmond Raceway","Cook Out 400",17
"791","William Byron","Richmond Raceway","Cook Out 400",20
"792","Michael McDowell","Richmond Raceway","Cook Out 400",15
"793","Erik Jones","Richmond Raceway","Cook Out 400",14
"794","Ross Chastain","Richmond Raceway","Cook Out 400",13
"795","Todd Gilliland","Richmond Raceway","Cook Out 400",12
"796","Austin Cindric","Richmond Raceway","Cook Out 400",11
"797","A.J. Allmendinger","Richmond Raceway","Cook Out 400",10
"798","Noah Gragson","Richmond Raceway","Cook Out 400",9
"799","Ryan Newman","Richmond Raceway","Cook Out 400",0
"800","Justin Haley","Richmond Raceway","Cook Out 400",7
"801","Harrison Burton","Richmond Raceway","Cook Out 400",6
"802","Corey LaJoie","Richmond Raceway","Cook Out 400",5
"803","Daniel Suarez","Richmond Raceway","Cook Out 400",4
"804","Ty Dillon","Richmond Raceway","Cook Out 400",3
"805","J.J. Yeley","Richmond Raceway","Cook Out 400",0
"806","B.J. McLeod","Richmond Raceway","Cook Out 400",1
"807","Chris Buescher","Michigan International Speedway","FireKeepers Casino 400",41
"808","Martin Truex Jr.","Michigan International Speedway","FireKeepers Casino 400",55
"809","Denny Hamlin","Michigan International Speedway","FireKeepers Casino 400",37
"810","Brad Keselowski","Michigan International Speedway","FireKeepers Casino 400",48
"811","Kyle Larson","Michigan International Speedway","FireKeepers Casino 400",43
"812","Daniel Suarez","Michigan International Speedway","FireKeepers Casino 400",45
"813","Ross Chastain","Michigan International Speedway","FireKeepers Casino 400",30
"814","Kevin Harvick","Michigan International Speedway","FireKeepers Casino 400",29
"815","Ryan Blaney","Michigan International Speedway","FireKeepers Casino 400",28
"816","Erik Jones","Michigan International Speedway","FireKeepers Casino 400",29
"817","Ty Gibbs","Michigan International Speedway","FireKeepers Casino 400",34
"818","Austin Cindric","Michigan International Speedway","FireKeepers Casino 400",27
"819","Christopher Bell","Michigan International Speedway","FireKeepers Casino 400",24
"820","Joey Logano","Michigan International Speedway","FireKeepers Casino 400",27
"821","Corey LaJoie","Michigan International Speedway","FireKeepers Casino 400",23
"822","Aric Almirola","Michigan International Speedway","FireKeepers Casino 400",21
"823","Harrison Burton","Michigan International Speedway","FireKeepers Casino 400",20
"824","Bubba Wallace","Michigan International Speedway","FireKeepers Casino 400",35
"825","Austin Dillon","Michigan International Speedway","FireKeepers Casino 400",18
"826","Ty Dillon","Michigan International Speedway","FireKeepers Casino 400",17
"827","Ricky Stenhouse Jr.","Michigan International Speedway","FireKeepers Casino 400",16
"828","Ryan Preece","Michigan International Speedway","FireKeepers Casino 400",15
"829","Justin Haley","Michigan International Speedway","FireKeepers Casino 400",14
"830","Michael McDowell","Michigan International Speedway","FireKeepers Casino 400",13
"831","Cole Custer","Michigan International Speedway","FireKeepers Casino 400",0
"832","A.J. Allmendinger","Michigan International Speedway","FireKeepers Casino 400",14
"833","J.J. Yeley","Michigan International Speedway","FireKeepers Casino 400",0
"834","Austin Hill","Michigan International Speedway","FireKeepers Casino 400",0
"835","Todd Gilliland","Michigan International Speedway","FireKeepers Casino 400",8
"836","Tyler Reddick","Michigan International Speedway","FireKeepers Casino 400",7
"837","Chase Briscoe","Michigan International Speedway","FireKeepers Casino 400",6
"838","Josh Bilicki","Michigan International Speedway","FireKeepers Casino 400",0
"839","Alex Bowman","Michigan International Speedway","FireKeepers Casino 400",14
"840","Josh Berry","Michigan International Speedway","FireKeepers Casino 400",0
"841","William Byron","Michigan International Speedway","FireKeepers Casino 400",2
"842","Chase Elliott","Michigan International Speedway","FireKeepers Casino 400",1
"843","Kyle Busch","Michigan International Speedway","FireKeepers Casino 400",1
"844","Michael McDowell","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",59
"845","Chase Elliott","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",49
"846","Daniel Suarez","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",51
"847","Tyler Reddick","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",44
"848","Alex Bowman","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",38
"849","Chase Briscoe","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",33
"850","Martin Truex Jr.","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",31
"851","Kyle Larson","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",36
"852","Christopher Bell","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",32
"853","Shane van Gisbergen","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",0
"854","Chris Buescher","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",26
"855","Ty Gibbs","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",25
"856","Ryan Blaney","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",24
"857","William Byron","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",23
"858","Austin Cindric","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",22
"859","Austin Dillon","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",21
"860","Ross Chastain","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",20
"861","Bubba Wallace","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",19
"862","Denny Hamlin","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",28
"863","Brad Keselowski","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",24
"864","Harrison Burton","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",16
"865","Brodie Kostecki","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",15
"866","Kevin Harvick","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",14
"867","Mike Rockenfeller","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",13
"868","Ricky Stenhouse Jr.","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",12
"869","A.J. Allmendinger","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",11
"870","Ty Dillon","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",10
"871","Jenson Button","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",9
"872","Corey LaJoie","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",8
"873","Andy Lally","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",7
"874","Ryan Preece","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",6
"875","Josh Bilicki","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",0
"876","Kamui Kobayashi","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",0
"877","Joey Logano","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",3
"878","Erik Jones","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",2
"879","Kyle Busch","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",11
"880","Todd Gilliland","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",1
"881","Justin Haley","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",1
"882","Aric Almirola","Indianapolis Motor Speedway Road Course","Verizon 200 at the Brickyard",1
"883","William Byron","Watkins Glen International","Go Bowling at The Glen",59
"884","Denny Hamlin","Watkins Glen International","Go Bowling at The Glen",52
"885","Christopher Bell","Watkins Glen International","Go Bowling at The Glen",43
"886","A.J. Allmendinger","Watkins Glen International","Go Bowling at The Glen",45
"887","Ty Gibbs","Watkins Glen International","Go Bowling at The Glen",47
"888","Martin Truex Jr.","Watkins Glen International","Go Bowling at The Glen",31
"889","Chris Buescher","Watkins Glen International","Go Bowling at The Glen",30
"890","Tyler Reddick","Watkins Glen International","Go Bowling at The Glen",30
"891","Ryan Blaney","Watkins Glen International","Go Bowling at The Glen",28
"892","Joey Logano","Watkins Glen International","Go Bowling at The Glen",27
"893","Todd Gilliland","Watkins Glen International","Go Bowling at The Glen",26
"894","Bubba Wallace","Watkins Glen International","Go Bowling at The Glen",30
"895","Ricky Stenhouse Jr.","Watkins Glen International","Go Bowling at The Glen",24
"896","Kyle Busch","Watkins Glen International","Go Bowling at The Glen",28
"897","Brad Keselowski","Watkins Glen International","Go Bowling at The Glen",22
"898","Austin Cindric","Watkins Glen International","Go Bowling at The Glen",21
"899","Ryan Preece","Watkins Glen International","Go Bowling at The Glen",20
"900","Ross Chastain","Watkins Glen International","Go Bowling at The Glen",19
"901","Mike Rockenfeller","Watkins Glen International","Go Bowling at The Glen",18
"902","Corey LaJoie","Watkins Glen International","Go Bowling at The Glen",17
"903","Kevin Harvick","Watkins Glen International","Go Bowling at The Glen",16
"904","Daniel Suarez","Watkins Glen International","Go Bowling at The Glen",15
"905","Alex Bowman","Watkins Glen International","Go Bowling at The Glen",14
"906","Justin Haley","Watkins Glen International","Go Bowling at The Glen",13
"907","Andy Lally","Watkins Glen International","Go Bowling at The Glen",12
"908","Kyle Larson","Watkins Glen International","Go Bowling at The Glen",23
"909","Josh Bilicki","Watkins Glen International","Go Bowling at The Glen",0
"910","Cole Custer","Watkins Glen International","Go Bowling at The Glen",0
"911","Erik Jones","Watkins Glen International","Go Bowling at The Glen",8
"912","Aric Almirola","Watkins Glen International","Go Bowling at The Glen",7
"913","Austin Dillon","Watkins Glen International","Go Bowling at The Glen",7
"914","Chase Elliott","Watkins Glen International","Go Bowling at The Glen",9
"915","Harrison Burton","Watkins Glen International","Go Bowling at The Glen",4
"916","Ty Dillon","Watkins Glen International","Go Bowling at The Glen",3
"917","Chase Briscoe","Watkins Glen International","Go Bowling at The Glen",2
"918","Michael McDowell","Watkins Glen International","Go Bowling at The Glen",11
"919","Chris Buescher","Daytona International Speedway","Coke Zero Sugar 400",40
"920","Brad Keselowski","Daytona International Speedway","Coke Zero Sugar 400",45
"921","Aric Almirola","Daytona International Speedway","Coke Zero Sugar 400",34
"922","Chase Elliott","Daytona International Speedway","Coke Zero Sugar 400",37
"923","Joey Logano","Daytona International Speedway","Coke Zero Sugar 400",39
"924","Alex Bowman","Daytona International Speedway","Coke Zero Sugar 400",38
"925","Kyle Busch","Daytona International Speedway","Coke Zero Sugar 400",39
"926","William Byron","Daytona International Speedway","Coke Zero Sugar 400",35
"927","Kevin Harvick","Daytona International Speedway","Coke Zero Sugar 400",36
"928","Corey LaJoie","Daytona International Speedway","Coke Zero Sugar 400",27
"929","Ty Dillon","Daytona International Speedway","Coke Zero Sugar 400",26
"930","Bubba Wallace","Daytona International Speedway","Coke Zero Sugar 400",30
"931","Michael McDowell","Daytona International Speedway","Coke Zero Sugar 400",24
"932","Austin Hill","Daytona International Speedway","Coke Zero Sugar 400",0
"933","Chandler Smith","Daytona International Speedway","Coke Zero Sugar 400",0
"934","Christopher Bell","Daytona International Speedway","Coke Zero Sugar 400",30
"935","Ross Chastain","Daytona International Speedway","Coke Zero Sugar 400",22
"936","Erik Jones","Daytona International Speedway","Coke Zero Sugar 400",19
"937","J.J. Yeley","Daytona International Speedway","Coke Zero Sugar 400",0
"938","Daniel Suarez","Daytona International Speedway","Coke Zero Sugar 400",26
"939","Justin Haley","Daytona International Speedway","Coke Zero Sugar 400",16
"940","Josh Berry","Daytona International Speedway","Coke Zero Sugar 400",0
"941","B.J. McLeod","Daytona International Speedway","Coke Zero Sugar 400",14
"942","Martin Truex Jr.","Daytona International Speedway","Coke Zero Sugar 400",23
"943","Tyler Reddick","Daytona International Speedway","Coke Zero Sugar 400",17
"944","Denny Hamlin","Daytona International Speedway","Coke Zero Sugar 400",14
"945","Kyle Larson","Daytona International Speedway","Coke Zero Sugar 400",10
"946","Harrison Burton","Daytona International Speedway","Coke Zero Sugar 400",9
"947","A.J. Allmendinger","Daytona International Speedway","Coke Zero Sugar 400",8
"948","Chase Briscoe","Daytona International Speedway","Coke Zero Sugar 400",9
"949","Ryan Preece","Daytona International Speedway","Coke Zero Sugar 400",6
"950","Todd Gilliland","Daytona International Speedway","Coke Zero Sugar 400",5
"951","Austin Dillon","Daytona International Speedway","Coke Zero Sugar 400",7
"952","Ricky Stenhouse Jr.","Daytona International Speedway","Coke Zero Sugar 400",3
"953","Ty Gibbs","Daytona International Speedway","Coke Zero Sugar 400",9
"954","Ryan Blaney","Daytona International Speedway","Coke Zero Sugar 400",1
"955","Austin Cindric","Daytona International Speedway","Coke Zero Sugar 400",5
"956","Riley Herbst","Daytona International Speedway","Coke Zero Sugar 400",0
"957","Brennan Poole","Daytona International Speedway","Coke Zero Sugar 400",0
"958","Kyle Larson","Darlington Raceway","Cook Out Southern 500",57
"959","Tyler Reddick","Darlington Raceway","Cook Out Southern 500",51
"960","Chris Buescher","Darlington Raceway","Cook Out Southern 500",36
"961","William Byron","Darlington Raceway","Cook Out Southern 500",39
"962","Ross Chastain","Darlington Raceway","Cook Out Southern 500",32
"963","Brad Keselowski","Darlington Raceway","Cook Out Southern 500",38
"964","Bubba Wallace","Darlington Raceway","Cook Out Southern 500",30
"965","Chase Elliott","Darlington Raceway","Cook Out Southern 500",33
"966","Ryan Blaney","Darlington Raceway","Cook Out Southern 500",38
"967","Erik Jones","Darlington Raceway","Cook Out Southern 500",35
"968","Kyle Busch","Darlington Raceway","Cook Out Southern 500",31
"969","Joey Logano","Darlington Raceway","Cook Out Southern 500",25
"970","A.J. Allmendinger","Darlington Raceway","Cook Out Southern 500",24
"971","Aric Almirola","Darlington Raceway","Cook Out Southern 500",24
"972","Chase Briscoe","Darlington Raceway","Cook Out Southern 500",22
"973","Ricky Stenhouse Jr.","Darlington Raceway","Cook Out Southern 500",22
"974","Carson Hocevar","Darlington Raceway","Cook Out Southern 500",0
"975","Martin Truex Jr.","Darlington Raceway","Cook Out Southern 500",19
"976","Kevin Harvick","Darlington Raceway","Cook Out Southern 500",25
"977","Austin Dillon","Darlington Raceway","Cook Out Southern 500",20
"978","Ty Gibbs","Darlington Raceway","Cook Out Southern 500",16
"979","Corey LaJoie","Darlington Raceway","Cook Out Southern 500",15
"980","Christopher Bell","Darlington Raceway","Cook Out Southern 500",17
"981","Justin Haley","Darlington Raceway","Cook Out Southern 500",13
"982","Denny Hamlin","Darlington Raceway","Cook Out Southern 500",32
"983","Todd Gilliland","Darlington Raceway","Cook Out Southern 500",11
"984","Ryan Newman","Darlington Raceway","Cook Out Southern 500",0
"985","Ryan Preece","Darlington Raceway","Cook Out Southern 500",9
"986","Ty Dillon","Darlington Raceway","Cook Out Southern 500",8
"987","J.J. Yeley","Darlington Raceway","Cook Out Southern 500",0
"988","Austin Cindric","Darlington Raceway","Cook Out Southern 500",6
"989","Michael McDowell","Darlington Raceway","Cook Out Southern 500",5
"990","Alex Bowman","Darlington Raceway","Cook Out Southern 500",4
"991","Daniel Suarez","Darlington Raceway","Cook Out Southern 500",3
"992","Harrison Burton","Darlington Raceway","Cook Out Southern 500",2
"993","B.J. McLeod","Darlington Raceway","Cook Out Southern 500",1
"994","Tyler Reddick","Kansas Speedway","Hollywood Casino 400",51
"995","Denny Hamlin","Kansas Speedway","Hollywood Casino 400",48
"996","Erik Jones","Kansas Speedway","Hollywood Casino 400",39
"997","Kyle Larson","Kansas Speedway","Hollywood Casino 400",43
"998","Joey Logano","Kansas Speedway","Hollywood Casino 400",35
"999","Chase Elliott","Kansas Speedway","Hollywood Casino 400",41
"1000","Kyle Busch","Kansas Speedway","Hollywood Casino 400",30
"1001","Christopher Bell","Kansas Speedway","Hollywood Casino 400",38
"1002","Brad Keselowski","Kansas Speedway","Hollywood Casino 400",41
"1003","Alex Bowman","Kansas Speedway","Hollywood Casino 400",27
"1004","Kevin Harvick","Kansas Speedway","Hollywood Casino 400",34
"1005","Ryan Blaney","Kansas Speedway","Hollywood Casino 400",35
"1006","Ross Chastain","Kansas Speedway","Hollywood Casino 400",31
"1007","Ty Gibbs","Kansas Speedway","Hollywood Casino 400",23
"1008","William Byron","Kansas Speedway","Hollywood Casino 400",22
"1009","Daniel Suarez","Kansas Speedway","Hollywood Casino 400",21
"1010","Aric Almirola","Kansas Speedway","Hollywood Casino 400",20
"1011","Ryan Preece","Kansas Speedway","Hollywood Casino 400",19
"1012","Chase Briscoe","Kansas Speedway","Hollywood Casino 400",18
"1013","Carson Hocevar","Kansas Speedway","Hollywood Casino 400",0
"1014","Justin Haley","Kansas Speedway","Hollywood Casino 400",16
"1015","Corey LaJoie","Kansas Speedway","Hollywood Casino 400",15
"1016","Ricky Stenhouse Jr.","Kansas Speedway","Hollywood Casino 400",14
"1017","Cole Custer","Kansas Speedway","Hollywood Casino 400",0
"1018","Todd Gilliland","Kansas Speedway","Hollywood Casino 400",12
"1019","Michael McDowell","Kansas Speedway","Hollywood Casino 400",11
"1020","Chris Buescher","Kansas Speedway","Hollywood Casino 400",12
"1021","Ty Dillon","Kansas Speedway","Hollywood Casino 400",9
"1022","Sheldon Creed","Kansas Speedway","Hollywood Casino 400",0
"1023","A.J. Allmendinger","Kansas Speedway","Hollywood Casino 400",7
"1024","Austin Cindric","Kansas Speedway","Hollywood Casino 400",6
"1025","Bubba Wallace","Kansas Speedway","Hollywood Casino 400",14
"1026","Austin Dillon","Kansas Speedway","Hollywood Casino 400",4
"1027","J.J. Yeley","Kansas Speedway","Hollywood Casino 400",0
"1028","Harrison Burton","Kansas Speedway","Hollywood Casino 400",2
"1029","Martin Truex Jr.","Kansas Speedway","Hollywood Casino 400",1
"1030","Denny Hamlin","Bristol Motor Speedway","Bass Pro Shops Night Race",47
"1031","Kyle Larson","Bristol Motor Speedway","Bass Pro Shops Night Race",46
"1032","Christopher Bell","Bristol Motor Speedway","Bass Pro Shops Night Race",54
"1033","Chris Buescher","Bristol Motor Speedway","Bass Pro Shops Night Race",37
"1034","Ty Gibbs","Bristol Motor Speedway","Bass Pro Shops Night Race",42
"1035","Michael McDowell","Bristol Motor Speedway","Bass Pro Shops Night Race",36
"1036","Chase Elliott","Bristol Motor Speedway","Bass Pro Shops Night Race",31
"1037","Brad Keselowski","Bristol Motor Speedway","Bass Pro Shops Night Race",33
"1038","William Byron","Bristol Motor Speedway","Bass Pro Shops Night Race",38
"1039","Ricky Stenhouse Jr.","Bristol Motor Speedway","Bass Pro Shops Night Race",27
"1040","Carson Hocevar","Bristol Motor Speedway","Bass Pro Shops Night Race",0
"1041","Ryan Preece","Bristol Motor Speedway","Bass Pro Shops Night Race",27
"1042","Alex Bowman","Bristol Motor Speedway","Bass Pro Shops Night Race",24
"1043","Bubba Wallace","Bristol Motor Speedway","Bass Pro Shops Night Race",31
"1044","Tyler Reddick","Bristol Motor Speedway","Bass Pro Shops Night Race",28
"1045","Todd Gilliland","Bristol Motor Speedway","Bass Pro Shops Night Race",21
"1046","Austin Dillon","Bristol Motor Speedway","Bass Pro Shops Night Race",20
"1047","Aric Almirola","Bristol Motor Speedway","Bass Pro Shops Night Race",19
"1048","Martin Truex Jr.","Bristol Motor Speedway","Bass Pro Shops Night Race",20
"1049","Kyle Busch","Bristol Motor Speedway","Bass Pro Shops Night Race",17
"1050","Daniel Suarez","Bristol Motor Speedway","Bass Pro Shops Night Race",16
"1051","Ryan Blaney","Bristol Motor Speedway","Bass Pro Shops Night Race",15
"1052","Ross Chastain","Bristol Motor Speedway","Bass Pro Shops Night Race",19
"1053","Erik Jones","Bristol Motor Speedway","Bass Pro Shops Night Race",13
"1054","Corey LaJoie","Bristol Motor Speedway","Bass Pro Shops Night Race",21
"1055","J.J. Yeley","Bristol Motor Speedway","Bass Pro Shops Night Race",0
"1056","Chase Briscoe","Bristol Motor Speedway","Bass Pro Shops Night Race",10
"1057","Harrison Burton","Bristol Motor Speedway","Bass Pro Shops Night Race",9
"1058","Kevin Harvick","Bristol Motor Speedway","Bass Pro Shops Night Race",8
"1059","A.J. Allmendinger","Bristol Motor Speedway","Bass Pro Shops Night Race",7
"1060","B.J. McLeod","Bristol Motor Speedway","Bass Pro Shops Night Race",0
"1061","Austin Cindric","Bristol Motor Speedway","Bass Pro Shops Night Race",5
"1062","Ty Dillon","Bristol Motor Speedway","Bass Pro Shops Night Race",4
"1063","Joey Logano","Bristol Motor Speedway","Bass Pro Shops Night Race",3
"1064","Justin Haley","Bristol Motor Speedway","Bass Pro Shops Night Race",2
"1065","Ryan Newman","Bristol Motor Speedway","Bass Pro Shops Night Race",0
"1066","William Byron","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",47
"1067","Ross Chastain","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",38
"1068","Bubba Wallace","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",37
"1069","Christopher Bell","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",41
"1070","Denny Hamlin","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",42
"1071","Kevin Harvick","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",31
"1072","Brad Keselowski","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",34
"1073","Daniel Suarez","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",30
"1074","Ricky Stenhouse Jr.","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",28
"1075","Chase Briscoe","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",30
"1076","Chase Elliott","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",36
"1077","Alex Bowman","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",25
"1078","Justin Haley","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",24
"1079","Chris Buescher","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",38
"1080","Michael McDowell","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",28
"1081","Carson Hocevar","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",0
"1082","Martin Truex Jr.","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",20
"1083","Aric Almirola","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",19
"1084","Ty Dillon","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",18
"1085","Harrison Burton","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",17
"1086","Joey Logano","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",16
"1087","B.J. McLeod","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",0
"1088","Ryan Preece","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",14
"1089","Zane Smith","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",0
"1090","Tyler Reddick","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",22
"1091","Corey LaJoie","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",11
"1092","Austin Cindric","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",10
"1093","Ryan Blaney","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",20
"1094","A.J. Allmendinger","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",8
"1095","Erik Jones","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",16
"1096","Kyle Larson","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",16
"1097","J.J. Yeley","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",0
"1098","Ty Gibbs","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",4
"1099","Kyle Busch","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",3
"1100","Todd Gilliland","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",2
"1101","Austin Dillon","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",1
"1102","Ryan Blaney","Talladega Superspeedway","YellaWood 500",50
"1103","William Byron","Talladega Superspeedway","YellaWood 500",53
"1104","Denny Hamlin","Talladega Superspeedway","YellaWood 500",34
"1105","Corey LaJoie","Talladega Superspeedway","YellaWood 500",34
"1106","Austin Cindric","Talladega Superspeedway","YellaWood 500",37
"1107","Justin Haley","Talladega Superspeedway","YellaWood 500",35
"1108","Chase Elliott","Talladega Superspeedway","YellaWood 500",43
"1109","Ryan Preece","Talladega Superspeedway","YellaWood 500",31
"1110","Riley Herbst","Talladega Superspeedway","YellaWood 500",0
"1111","Daniel Suarez","Talladega Superspeedway","YellaWood 500",32
"1112","Chandler Smith","Talladega Superspeedway","YellaWood 500",0
"1113","Todd Gilliland","Talladega Superspeedway","YellaWood 500",25
"1114","Chase Briscoe","Talladega Superspeedway","YellaWood 500",27
"1115","Christopher Bell","Talladega Superspeedway","YellaWood 500",23
"1116","Kyle Larson","Talladega Superspeedway","YellaWood 500",34
"1117","Tyler Reddick","Talladega Superspeedway","YellaWood 500",22
"1118","Aric Almirola","Talladega Superspeedway","YellaWood 500",20
"1119","Martin Truex Jr.","Talladega Superspeedway","YellaWood 500",19
"1120","Chris Buescher","Talladega Superspeedway","YellaWood 500",18
"1121","A.J. Allmendinger","Talladega Superspeedway","YellaWood 500",17
"1122","Michael McDowell","Talladega Superspeedway","YellaWood 500",16
"1123","Ricky Stenhouse Jr.","Talladega Superspeedway","YellaWood 500",15
"1124","Bubba Wallace","Talladega Superspeedway","YellaWood 500",14
"1125","Joey Logano","Talladega Superspeedway","YellaWood 500",24
"1126","Kyle Busch","Talladega Superspeedway","YellaWood 500",12
"1127","Erik Jones","Talladega Superspeedway","YellaWood 500",11
"1128","Ty Dillon","Talladega Superspeedway","YellaWood 500",12
"1129","Alex Bowman","Talladega Superspeedway","YellaWood 500",15
"1130","B.J. McLeod","Talladega Superspeedway","YellaWood 500",0
"1131","Brennan Poole","Talladega Superspeedway","YellaWood 500",0
"1132","Harrison Burton","Talladega Superspeedway","YellaWood 500",6
"1133","Brad Keselowski","Talladega Superspeedway","YellaWood 500",15
"1134","Austin Dillon","Talladega Superspeedway","YellaWood 500",11
"1135","Ty Gibbs","Talladega Superspeedway","YellaWood 500",3
"1136","Carson Hocevar","Talladega Superspeedway","YellaWood 500",0
"1137","J.J. Yeley","Talladega Superspeedway","YellaWood 500",0
"1138","Ross Chastain","Talladega Superspeedway","YellaWood 500",1
"1139","Kevin Harvick","Talladega Superspeedway","YellaWood 500",1
"1140","A.J. Allmendinger","Charlotte Motor Speedway Road Course","Bank of America ROVAL 400",41
"1141","William Byron","Charlotte Motor Speedway Road Course","Bank of America ROVAL 400",35
