"","Driver","Track","Name","Pts"
"1","William Byron","Daytona International Speedway","DAYTONA 500",51
"2","Alex Bowman","Daytona International Speedway","DAYTONA 500",42
"3","Christopher Bell","Daytona International Speedway","DAYTONA 500",34
"4","Corey LaJoie","Daytona International Speedway","DAYTONA 500",33
"5","Bubba Wallace","Daytona International Speedway","DAYTONA 500",39
"6","A.J. Allmendinger","Daytona International Speedway","DAYTONA 500",0
"7","John Hunter Nemechek","Daytona International Speedway","DAYTONA 500",30
"8","Erik Jones","Daytona International Speedway","DAYTONA 500",29
"9","Noah Gragson","Daytona International Speedway","DAYTONA 500",28
"10","Chase Briscoe","Daytona International Speedway","DAYTONA 500",27
"11","Kyle Larson","Daytona International Speedway","DAYTONA 500",35
"12","Kyle Busch","Daytona International Speedway","DAYTONA 500",37
"13","Zane Smith","Daytona International Speedway","DAYTONA 500",24
"14","Chase Elliott","Daytona International Speedway","DAYTONA 500",33
"15","Martin Truex Jr.","Daytona International Speedway","DAYTONA 500",24
"16","Daniel Hemric","Daytona International Speedway","DAYTONA 500",21
"17","Ty Gibbs","Daytona International Speedway","DAYTONA 500",20
"18","Chris Buescher","Daytona International Speedway","DAYTONA 500",20
"19","Denny Hamlin","Daytona International Speedway","DAYTONA 500",22
"20","David Ragan","Daytona International Speedway","DAYTONA 500",17
"21","Ross Chastain","Daytona International Speedway","DAYTONA 500",24
"22","Austin Cindric","Daytona International Speedway","DAYTONA 500",24
"23","Ryan Preece","Daytona International Speedway","DAYTONA 500",14
"24","Riley Herbst","Daytona International Speedway","DAYTONA 500",0
"25","Josh Berry","Daytona International Speedway","DAYTONA 500",12
"26","Justin Haley","Daytona International Speedway","DAYTONA 500",11
"27","Anthony Alfredo","Daytona International Speedway","DAYTONA 500",0
"28","Jimmie Johnson","Daytona International Speedway","DAYTONA 500",9
"29","Tyler Reddick","Daytona International Speedway","DAYTONA 500",14
"30","Ryan Blaney","Daytona International Speedway","DAYTONA 500",17
"31","Ricky Stenhouse Jr.","Daytona International Speedway","DAYTONA 500",9
