"","Driver","Track","Name","Pts"
"32","Joey Logano","Daytona International Speedway","DAYTONA 500",5
"33","Brad Keselowski","Daytona International Speedway","DAYTONA 500",4
"34","Daniel Suarez","Daytona International Speedway","DAYTONA 500",12
"35","Todd Gilliland","Daytona International Speedway","DAYTONA 500",2
"36","Michael McDowell","Daytona International Speedway","DAYTONA 500",1
"37","Austin Dillon","Daytona International Speedway","DAYTONA 500",1
"38","Kaz Grala","Daytona International Speedway","DAYTONA 500",1
"39","Harrison Burton","Daytona International Speedway","DAYTONA 500",1
"40","Carson Hocevar","Daytona International Speedway","DAYTONA 500",1
"41","Daniel Suarez","Atlanta Motor Speedway","Ambetter Health 400",47
"42","Ryan Blaney","Atlanta Motor Speedway","Ambetter Health 400",52
"43","Kyle Busch","Atlanta Motor Speedway","Ambetter Health 400",40
"44","Austin Cindric","Atlanta Motor Speedway","Ambetter Health 400",43
"45","Bubba Wallace","Atlanta Motor Speedway","Ambetter Health 400",35
"46","Ricky Stenhouse Jr.","Atlanta Motor Speedway","Ambetter Health 400",35
"47","Ross Chastain","Atlanta Motor Speedway","Ambetter Health 400",38
"48","Michael McDowell","Atlanta Motor Speedway","Ambetter Health 400",39
"49","Chris Buescher","Atlanta Motor Speedway","Ambetter Health 400",28
"50","Ty Gibbs","Atlanta Motor Speedway","Ambetter Health 400",27
"51","Harrison Burton","Atlanta Motor Speedway","Ambetter Health 400",29
"52","Martin Truex Jr.","Atlanta Motor Speedway","Ambetter Health 400",36
"53","Corey LaJoie","Atlanta Motor Speedway","Ambetter Health 400",24
"54","Kaz Grala","Atlanta Motor Speedway","Ambetter Health 400",23
"55","Chase Elliott","Atlanta Motor Speedway","Ambetter Health 400",23
"56","Ryan Preece","Atlanta Motor Speedway","Ambetter Health 400",21
"57","William Byron","Atlanta Motor Speedway","Ambetter Health 400",22
"58","Daniel Hemric","Atlanta Motor Speedway","Ambetter Health 400",19
"59","Carson Hocevar","Atlanta Motor Speedway","Ambetter Health 400",18
"60","Justin Haley","Atlanta Motor Speedway","Ambetter Health 400",17
"61","John Hunter Nemechek","Atlanta Motor Speedway","Ambetter Health 400",16
"62","Austin Dillon","Atlanta Motor Speedway","Ambetter Health 400",15
"63","Denny Hamlin","Atlanta Motor Speedway","Ambetter Health 400",14
"64","B.J. McLeod","Atlanta Motor Speedway","Ambetter Health 400",0
"65","Erik Jones","Atlanta Motor Speedway","Ambetter Health 400",12
"66","Todd Gilliland","Atlanta Motor Speedway","Ambetter Health 400",17
"67","Alex Bowman","Atlanta Motor Speedway","Ambetter Health 400",10
"68","Joey Logano","Atlanta Motor Speedway","Ambetter Health 400",9
"69","Josh Berry","Atlanta Motor Speedway","Ambetter Health 400",8
"70","Tyler Reddick","Atlanta Motor Speedway","Ambetter Health 400",7
"71","Chase Briscoe","Atlanta Motor Speedway","Ambetter Health 400",8
"72","Kyle Larson","Atlanta Motor Speedway","Ambetter Health 400",21
"73","Brad Keselowski","Atlanta Motor Speedway","Ambetter Health 400",8
"74","Christopher Bell","Atlanta Motor Speedway","Ambetter Health 400",3
"75","Zane Smith","Atlanta Motor Speedway","Ambetter Health 400",2
"76","Noah Gragson","Atlanta Motor Speedway","Ambetter Health 400",1
"77","Josh Williams","Atlanta Motor Speedway","Ambetter Health 400",0
"78","Kyle Larson","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",60
"79","Tyler Reddick","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",53
"80","Ryan Blaney","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",41
"81","Ross Chastain","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",36
"82","Ty Gibbs","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",37
"83","Noah Gragson","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",31
"84","Martin Truex Jr.","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",44
"85","Denny Hamlin","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",43
"86","Joey Logano","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",30
"87","William Byron","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",27
"88","Daniel Suarez","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",26
"89","Chase Elliott","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",30
"90","Brad Keselowski","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",24
"91","Erik Jones","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",24
"92","Carson Hocevar","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",22
"93","Austin Dillon","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",25
"94","Ricky Stenhouse Jr.","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",20
"95","Alex Bowman","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",22
"96","Daniel Hemric","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",18
"97","Josh Berry","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",17
"98","Chase Briscoe","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",16
"99","John Hunter Nemechek","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",15
"100","Ryan Preece","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",14
"101","Todd Gilliland","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",13
"102","Michael McDowell","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",12
"103","Kyle Busch","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",18
"104","Justin Haley","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",10
"105","Derek Kraus","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",9
"106","Austin Cindric","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",10
"107","Harrison Burton","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",7
"108","Kaz Grala","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",6
"109","Corey LaJoie","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",9
"110","Christopher Bell","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",5
"111","J.J. Yeley","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",0
"112","Bubba Wallace","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",2
"113","Zane Smith","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",1
"114","Chris Buescher","Las Vegas Motor Speedway","Pennzoil 400 presented by Jiffy Lube",1
"115","Christopher Bell","Phoenix Raceway","Shriners Children's 500",50
"116","Chris Buescher","Phoenix Raceway","Shriners Children's 500",36
"117","Ty Gibbs","Phoenix Raceway","Shriners Children's 500",43
"118","Brad Keselowski","Phoenix Raceway","Shriners Children's 500",35
"119","Ryan Blaney","Phoenix Raceway","Shriners Children's 500",41
"120","Ross Chastain","Phoenix Raceway","Shriners Children's 500",31
"121","Martin Truex Jr.","Phoenix Raceway","Shriners Children's 500",37
"122","Michael McDowell","Phoenix Raceway","Shriners Children's 500",32
"123","Chase Briscoe","Phoenix Raceway","Shriners Children's 500",30
"124","Tyler Reddick","Phoenix Raceway","Shriners Children's 500",46
"125","Denny Hamlin","Phoenix Raceway","Shriners Children's 500",42
"126","Noah Gragson","Phoenix Raceway","Shriners Children's 500",28
"127","Daniel Suarez","Phoenix Raceway","Shriners Children's 500",24
"128","Kyle Larson","Phoenix Raceway","Shriners Children's 500",23
"129","Carson Hocevar","Phoenix Raceway","Shriners Children's 500",22
"130","Bubba Wallace","Phoenix Raceway","Shriners Children's 500",21
"131","Todd Gilliland","Phoenix Raceway","Shriners Children's 500",20
"132","William Byron","Phoenix Raceway","Shriners Children's 500",31
"133","Chase Elliott","Phoenix Raceway","Shriners Children's 500",28
"134","Alex Bowman","Phoenix Raceway","Shriners Children's 500",17
"135","Ricky Stenhouse Jr.","Phoenix Raceway","Shriners Children's 500",16
"136","Kyle Busch","Phoenix Raceway","Shriners Children's 500",15
"137","Ryan Preece","Phoenix Raceway","Shriners Children's 500",14
"138","Justin Haley","Phoenix Raceway","Shriners Children's 500",13
"139","John Hunter Nemechek","Phoenix Raceway","Shriners Children's 500",12
"140","Josh Berry","Phoenix Raceway","Shriners Children's 500",11
"141","Harrison Burton","Phoenix Raceway","Shriners Children's 500",10
"142","Daniel Hemric","Phoenix Raceway","Shriners Children's 500",9
"143","Zane Smith","Phoenix Raceway","Shriners Children's 500",8
"144","Kaz Grala","Phoenix Raceway","Shriners Children's 500",7
"145","Erik Jones","Phoenix Raceway","Shriners Children's 500",13
"146","Austin Dillon","Phoenix Raceway","Shriners Children's 500",5
"147","Corey LaJoie","Phoenix Raceway","Shriners Children's 500",4
"148","Joey Logano","Phoenix Raceway","Shriners Children's 500",3
"149","Derek Kraus","Phoenix Raceway","Shriners Children's 500",2
"150","Austin Cindric","Phoenix Raceway","Shriners Children's 500",1
"151","Denny Hamlin","Bristol Motor Speedway","Food City 500",44
"152","Martin Truex Jr.","Bristol Motor Speedway","Food City 500",44
"153","Brad Keselowski","Bristol Motor Speedway","Food City 500",50
"154","Alex Bowman","Bristol Motor Speedway","Food City 500",33
"155","Kyle Larson","Bristol Motor Speedway","Food City 500",44
"156","John Hunter Nemechek","Bristol Motor Speedway","Food City 500",44
"157","Chris Buescher","Bristol Motor Speedway","Food City 500",38
"158","Chase Elliott","Bristol Motor Speedway","Food City 500",29
"159","Ty Gibbs","Bristol Motor Speedway","Food City 500",48
"160","Christopher Bell","Bristol Motor Speedway","Food City 500",36
"161","Michael McDowell","Bristol Motor Speedway","Food City 500",26
"162","Josh Berry","Bristol Motor Speedway","Food City 500",26
"163","Chase Briscoe","Bristol Motor Speedway","Food City 500",24
"164","Ryan Preece","Bristol Motor Speedway","Food City 500",26
"165","Ross Chastain","Bristol Motor Speedway","Food City 500",22
"166","Ryan Blaney","Bristol Motor Speedway","Food City 500",26
"167","Justin Haley","Bristol Motor Speedway","Food City 500",20
"168","Daniel Suarez","Bristol Motor Speedway","Food City 500",19
"169","Kaz Grala","Bristol Motor Speedway","Food City 500",18
"170","Erik Jones","Bristol Motor Speedway","Food City 500",17
"171","Corey LaJoie","Bristol Motor Speedway","Food City 500",16
"172","Joey Logano","Bristol Motor Speedway","Food City 500",23
"173","A.J. Allmendinger","Bristol Motor Speedway","Food City 500",0
"174","Austin Dillon","Bristol Motor Speedway","Food City 500",13
"175","Kyle Busch","Bristol Motor Speedway","Food City 500",12
"176","Todd Gilliland","Bristol Motor Speedway","Food City 500",11
"177","Carson Hocevar","Bristol Motor Speedway","Food City 500",10
"178","Daniel Hemric","Bristol Motor Speedway","Food City 500",9
"179","Bubba Wallace","Bristol Motor Speedway","Food City 500",10
"180","Tyler Reddick","Bristol Motor Speedway","Food City 500",7
"181","Austin Cindric","Bristol Motor Speedway","Food City 500",6
"182","Harrison Burton","Bristol Motor Speedway","Food City 500",5
"183","Ricky Stenhouse Jr.","Bristol Motor Speedway","Food City 500",4
"184","Noah Gragson","Bristol Motor Speedway","Food City 500",3
"185","William Byron","Bristol Motor Speedway","Food City 500",2
"186","Zane Smith","Bristol Motor Speedway","Food City 500",1
"187","William Byron","Circuit of the Americas","EchoPark Automotive Grand Prix",47
"188","Christopher Bell","Circuit of the Americas","EchoPark Automotive Grand Prix",45
"189","Ty Gibbs","Circuit of the Americas","EchoPark Automotive Grand Prix",37
"190","Alex Bowman","Circuit of the Americas","EchoPark Automotive Grand Prix",33
"191","Tyler Reddick","Circuit of the Americas","EchoPark Automotive Grand Prix",34
"192","A.J. Allmendinger","Circuit of the Americas","EchoPark Automotive Grand Prix",0
"193","Ross Chastain","Circuit of the Americas","EchoPark Automotive Grand Prix",31
"194","Chris Buescher","Circuit of the Americas","EchoPark Automotive Grand Prix",29
"195","Kyle Busch","Circuit of the Americas","EchoPark Automotive Grand Prix",28
"196","Martin Truex Jr.","Circuit of the Americas","EchoPark Automotive Grand Prix",35
"197","Joey Logano","Circuit of the Americas","EchoPark Automotive Grand Prix",26
"198","Ryan Blaney","Circuit of the Americas","EchoPark Automotive Grand Prix",34
"199","Chase Briscoe","Circuit of the Americas","EchoPark Automotive Grand Prix",24
"200","Denny Hamlin","Circuit of the Americas","EchoPark Automotive Grand Prix",33
"201","Bubba Wallace","Circuit of the Americas","EchoPark Automotive Grand Prix",22
"202","Chase Elliott","Circuit of the Americas","EchoPark Automotive Grand Prix",21
"203","Kyle Larson","Circuit of the Americas","EchoPark Automotive Grand Prix",20
"204","Austin Cindric","Circuit of the Americas","EchoPark Automotive Grand Prix",26
"205","Zane Smith","Circuit of the Americas","EchoPark Automotive Grand Prix",18
"206","Shane van Gisbergen","Circuit of the Americas","EchoPark Automotive Grand Prix",0
"207","John Hunter Nemechek","Circuit of the Americas","EchoPark Automotive Grand Prix",20
"208","Carson Hocevar","Circuit of the Americas","EchoPark Automotive Grand Prix",15
"209","Ryan Preece","Circuit of the Americas","EchoPark Automotive Grand Prix",20
"210","Corey LaJoie","Circuit of the Americas","EchoPark Automotive Grand Prix",13
"211","Austin Dillon","Circuit of the Americas","EchoPark Automotive Grand Prix",18
"212","Todd Gilliland","Circuit of the Americas","EchoPark Automotive Grand Prix",18
"213","Kaz Grala","Circuit of the Americas","EchoPark Automotive Grand Prix",10
"214","Ricky Stenhouse Jr.","Circuit of the Americas","EchoPark Automotive Grand Prix",14
"215","Kamui Kobayashi","Circuit of the Americas","EchoPark Automotive Grand Prix",8
"216","Harrison Burton","Circuit of the Americas","EchoPark Automotive Grand Prix",7
"217","Daniel Suarez","Circuit of the Americas","EchoPark Automotive Grand Prix",15
"218","Erik Jones","Circuit of the Americas","EchoPark Automotive Grand Prix",5
"219","Brad Keselowski","Circuit of the Americas","EchoPark Automotive Grand Prix",9
"220","Noah Gragson","Circuit of the Americas","EchoPark Automotive Grand Prix",3
"221","Josh Berry","Circuit of the Americas","EchoPark Automotive Grand Prix",3
"222","Timmy Hill","Circuit of the Americas","EchoPark Automotive Grand Prix",0
"223","Daniel Hemric","Circuit of the Americas","EchoPark Automotive Grand Prix",3
"224","Michael McDowell","Circuit of the Americas","EchoPark Automotive Grand Prix",9
"225","Justin Haley","Circuit of the Americas","EchoPark Automotive Grand Prix",1
"226","Denny Hamlin","Richmond Raceway","Toyota Owners 400",46
"227","Joey Logano","Richmond Raceway","Toyota Owners 400",49
"228","Kyle Larson","Richmond Raceway","Toyota Owners 400",51
"229","Martin Truex Jr.","Richmond Raceway","Toyota Owners 400",50
"230","Chase Elliott","Richmond Raceway","Toyota Owners 400",36
"231","Christopher Bell","Richmond Raceway","Toyota Owners 400",36
"232","William Byron","Richmond Raceway","Toyota Owners 400",32
"233","Brad Keselowski","Richmond Raceway","Toyota Owners 400",29
"234","Chris Buescher","Richmond Raceway","Toyota Owners 400",32
"235","Tyler Reddick","Richmond Raceway","Toyota Owners 400",28
"236","Josh Berry","Richmond Raceway","Toyota Owners 400",37
"237","Noah Gragson","Richmond Raceway","Toyota Owners 400",25
"238","Bubba Wallace","Richmond Raceway","Toyota Owners 400",36
"239","Erik Jones","Richmond Raceway","Toyota Owners 400",23
"240","Ross Chastain","Richmond Raceway","Toyota Owners 400",25
"241","Ty Gibbs","Richmond Raceway","Toyota Owners 400",21
"242","Alex Bowman","Richmond Raceway","Toyota Owners 400",28
"243","Chase Briscoe","Richmond Raceway","Toyota Owners 400",19
"244","Ryan Blaney","Richmond Raceway","Toyota Owners 400",18
"245","Kyle Busch","Richmond Raceway","Toyota Owners 400",17
"246","Todd Gilliland","Richmond Raceway","Toyota Owners 400",21
"247","Daniel Suarez","Richmond Raceway","Toyota Owners 400",15
"248","Austin Cindric","Richmond Raceway","Toyota Owners 400",14
"249","Austin Dillon","Richmond Raceway","Toyota Owners 400",13
"250","John Hunter Nemechek","Richmond Raceway","Toyota Owners 400",12
"251","Michael McDowell","Richmond Raceway","Toyota Owners 400",11
"252","Carson Hocevar","Richmond Raceway","Toyota Owners 400",10
"253","Ryan Preece","Richmond Raceway","Toyota Owners 400",10
"254","Ty Dillon","Richmond Raceway","Toyota Owners 400",0
"255","Daniel Hemric","Richmond Raceway","Toyota Owners 400",7
"256","Kaz Grala","Richmond Raceway","Toyota Owners 400",6
"257","Justin Haley","Richmond Raceway","Toyota Owners 400",5
"258","Ricky Stenhouse Jr.","Richmond Raceway","Toyota Owners 400",4
"259","Harrison Burton","Richmond Raceway","Toyota Owners 400",3
"260","Zane Smith","Richmond Raceway","Toyota Owners 400",2
"261","Corey LaJoie","Richmond Raceway","Toyota Owners 400",1
"262","William Byron","Martinsville Speedway","Cook Out 400",46
"263","Kyle Larson","Martinsville Speedway","Cook Out 400",53
"264","Chase Elliott","Martinsville Speedway","Cook Out 400",49
"265","Bubba Wallace","Martinsville Speedway","Cook Out 400",51
"266","Ryan Blaney","Martinsville Speedway","Cook Out 400",32
"267","Joey Logano","Martinsville Speedway","Cook Out 400",42
"268","Tyler Reddick","Martinsville Speedway","Cook Out 400",30
"269","Alex Bowman","Martinsville Speedway","Cook Out 400",34
"270","Ryan Preece","Martinsville Speedway","Cook Out 400",28
"271","Chase Briscoe","Martinsville Speedway","Cook Out 400",38
"272","Denny Hamlin","Martinsville Speedway","Cook Out 400",40
"273","Erik Jones","Martinsville Speedway","Cook Out 400",25
"274","Todd Gilliland","Martinsville Speedway","Cook Out 400",24
"275","Ross Chastain","Martinsville Speedway","Cook Out 400",25
"276","Chris Buescher","Martinsville Speedway","Cook Out 400",22
"277","Kyle Busch","Martinsville Speedway","Cook Out 400",22
"278","Carson Hocevar","Martinsville Speedway","Cook Out 400",20
"279","Martin Truex Jr.","Martinsville Speedway","Cook Out 400",25
"280","Ty Gibbs","Martinsville Speedway","Cook Out 400",18
"281","Noah Gragson","Martinsville Speedway","Cook Out 400",17
"282","Michael McDowell","Martinsville Speedway","Cook Out 400",16
"283","Daniel Suarez","Martinsville Speedway","Cook Out 400",15
"284","Austin Cindric","Martinsville Speedway","Cook Out 400",14
"285","Brad Keselowski","Martinsville Speedway","Cook Out 400",13
"286","Josh Berry","Martinsville Speedway","Cook Out 400",15
"287","Kaz Grala","Martinsville Speedway","Cook Out 400",11
"288","Josh Williams","Martinsville Speedway","Cook Out 400",0
"289","Daniel Hemric","Martinsville Speedway","Cook Out 400",9
"290","Ricky Stenhouse Jr.","Martinsville Speedway","Cook Out 400",8
"291","Justin Haley","Martinsville Speedway","Cook Out 400",7
"292","Zane Smith","Martinsville Speedway","Cook Out 400",6
"293","Corey LaJoie","Martinsville Speedway","Cook Out 400",5
"294","Harrison Burton","Martinsville Speedway","Cook Out 400",4
"295","Austin Dillon","Martinsville Speedway","Cook Out 400",3
"296","Christopher Bell","Martinsville Speedway","Cook Out 400",2
"297","John Hunter Nemechek","Martinsville Speedway","Cook Out 400",1
"298","David Starr","Martinsville Speedway","Cook Out 400",0
"299","Chase Elliott","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",45
"300","Brad Keselowski","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",40
"301","William Byron","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",36
"302","Tyler Reddick","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",40
"303","Daniel Suarez","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",32
"304","Chase Briscoe","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",43
"305","Bubba Wallace","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",40
"306","Austin Dillon","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",29
"307","Kyle Busch","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",28
"308","Carson Hocevar","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",27
"309","Joey Logano","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",26
"310","Ryan Preece","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",25
"311","Ty Gibbs","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",26
"312","Martin Truex Jr.","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",23
"313","Chris Buescher","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",22
"314","Ty Dillon","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",0
"315","Christopher Bell","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",29
"316","Noah Gragson","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",19
"317","Erik Jones","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",25
"318","Daniel Hemric","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",17
"319","Kyle Larson","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",26
"320","Corey LaJoie","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",15
"321","Ricky Stenhouse Jr.","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",17
"322","Justin Haley","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",13
"323","Austin Cindric","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",12
"324","Zane Smith","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",11
"325","Kaz Grala","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",10
"326","Harrison Burton","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",13
"327","Jimmie Johnson","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",8
"328","Denny Hamlin","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",15
"329","Todd Gilliland","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",6
"330","Ross Chastain","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",15
"331","Ryan Blaney","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",17
"332","John Hunter Nemechek","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",3
"333","Michael McDowell","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",5
"334","Josh Berry","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",1
"335","Alex Bowman","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",1
"336","Austin Hill","Texas Motor Speedway","AutoTrader EchoPark Automotive 400",0
"337","Tyler Reddick","Talladega Superspeedway","GEICO 500",47
"338","Brad Keselowski","Talladega Superspeedway","GEICO 500",38
"339","Noah Gragson","Talladega Superspeedway","GEICO 500",34
"340","Ricky Stenhouse Jr.","Talladega Superspeedway","GEICO 500",33
"341","Alex Bowman","Talladega Superspeedway","GEICO 500",33
"342","Anthony Alfredo","Talladega Superspeedway","GEICO 500",0
"343","William Byron","Talladega Superspeedway","GEICO 500",38
"344","Todd Gilliland","Talladega Superspeedway","GEICO 500",29
"345","Daniel Hemric","Talladega Superspeedway","GEICO 500",28
"346","Harrison Burton","Talladega Superspeedway","GEICO 500",32
"347","Martin Truex Jr.","Talladega Superspeedway","GEICO 500",26
"348","Chase Briscoe","Talladega Superspeedway","GEICO 500",25
"349","Ross Chastain","Talladega Superspeedway","GEICO 500",30
"350","Ryan Preece","Talladega Superspeedway","GEICO 500",25
"351","Chase Elliott","Talladega Superspeedway","GEICO 500",34
"352","Josh Berry","Talladega Superspeedway","GEICO 500",21
"353","Carson Hocevar","Talladega Superspeedway","GEICO 500",20
"354","Corey LaJoie","Talladega Superspeedway","GEICO 500",19
"355","Joey Logano","Talladega Superspeedway","GEICO 500",28
"356","Ryan Blaney","Talladega Superspeedway","GEICO 500",24
"357","Kyle Larson","Talladega Superspeedway","GEICO 500",24
"358","Ty Gibbs","Talladega Superspeedway","GEICO 500",16
"359","Austin Cindric","Talladega Superspeedway","GEICO 500",33
"360","Cody Ware","Talladega Superspeedway","GEICO 500",13
"361","Chris Buescher","Talladega Superspeedway","GEICO 500",16
"362","Daniel Suarez","Talladega Superspeedway","GEICO 500",11
"363","Kyle Busch","Talladega Superspeedway","GEICO 500",16
"364","Shane van Gisbergen","Talladega Superspeedway","GEICO 500",0
"365","Zane Smith","Talladega Superspeedway","GEICO 500",8
"366","Austin Dillon","Talladega Superspeedway","GEICO 500",14
"367","Michael McDowell","Talladega Superspeedway","GEICO 500",6
"368","B.J. McLeod","Talladega Superspeedway","GEICO 500",0
"369","John Hunter Nemechek","Talladega Superspeedway","GEICO 500",4
"370","Justin Haley","Talladega Superspeedway","GEICO 500",3
"371","Erik Jones","Talladega Superspeedway","GEICO 500",2
"372","Bubba Wallace","Talladega Superspeedway","GEICO 500",1
"373","Denny Hamlin","Talladega Superspeedway","GEICO 500",1
"374","Christopher Bell","Talladega Superspeedway","GEICO 500",5
"375","Denny Hamlin","Dover International Speedway","Wurth 400",53
"376","Kyle Larson","Dover International Speedway","Wurth 400",51
"377","Martin Truex Jr.","Dover International Speedway","Wurth 400",51
"378","Kyle Busch","Dover International Speedway","Wurth 400",42
"379","Chase Elliott","Dover International Speedway","Wurth 400",40
"380","Noah Gragson","Dover International Speedway","Wurth 400",31
"381","Ryan Blaney","Dover International Speedway","Wurth 400",40
"382","Alex Bowman","Dover International Speedway","Wurth 400",41
"383","Daniel Hemric","Dover International Speedway","Wurth 400",28
"384","Ty Gibbs","Dover International Speedway","Wurth 400",27
"385","Tyler Reddick","Dover International Speedway","Wurth 400",38
"386","Ross Chastain","Dover International Speedway","Wurth 400",25
"387","A.J. Allmendinger","Dover International Speedway","Wurth 400",0
"388","Josh Berry","Dover International Speedway","Wurth 400",23
"389","Austin Cindric","Dover International Speedway","Wurth 400",22
"390","Joey Logano","Dover International Speedway","Wurth 400",21
